,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
purchase_date,2018-08-15,2018-08-15,2018-08-15,2018-08-15,2018-08-15,2018-08-15,2018-08-15,2018-08-15,2018-08-15,2018-08-15,2018-08-15
weights,2.707943271692046,9.793553165002898,2.029111015174082,16.458446488709505,18.661044159954006,19.597934960218343,3.5551621565945632,1.9857679227401517,0.5836317397151582,6.423092011070914,18.204313109128307
seed_money,2707.943271692046,9793.553165002899,2029.1110151740818,16458.446488709506,18661.044159954006,19597.934960218343,3555.1621565945634,1985.7679227401518,583.6317397151582,6423.092011070914,18204.313109128307
num_shares,46.980278828800245,200.44112085556486,28.217369144403865,593.0971707643065,249.21266239254817,269.38742213358546,66.06880053139868,59.56112545711313,10.886620774392059,71.4152992113733,162.74193732458704
rebalacning_date_1,2018-11-15,2018-11-15,2018-11-15,2018-11-15,2018-11-15,2018-11-15,2018-11-15,2018-11-15,2018-11-15,2018-11-15,2018-11-15
weights_1,1.7341506289097213,8.904645130465672,1.2662661016216288,17.724766219343337,19.129569006395755,22.224120006900975,3.2443642618446766,1.8994494301594245,4.547807151302772,3.362358904537392,15.962503158518635
seed_money_1,1662.0438140045264,8534.385714983051,1213.6141497737326,16987.761938567808,18334.15235194541,21300.030437602163,3109.462039734395,1820.4694118155776,4358.707148675156,3222.5504085898733,15298.774621050961
num_shares_1,30.384713235914557,189.31645330485918,18.258073563618666,634.8192054771229,254.64100488813068,311.76859539815814,55.629021542253085,55.165739751987196,80.5824948913876,35.34273314970249,143.23354200028987
rebalacning_date_2,2019-02-15,2019-02-15,2019-02-15,2019-02-15,2019-02-15,2019-02-15,2019-02-15,2019-02-15,2019-02-15,2019-02-15,2019-02-15
weights_2,1.7767981641623996,9.343613023441948,1.3380729958043358,17.912222451493488,17.00538370631601,21.713982004289466,3.0205656330700887,1.9160491974463356,1.264439400476468,7.966434685825412,16.742438737674064
seed_money_2,1737.7443177982975,9138.241341467512,1308.6622848659156,17518.513589243503,16631.60706920307,21236.710846398462,2954.173901839201,1873.93462726475,1236.6471486163905,7791.333246300601,16374.441604735926
num_shares_2,31.896922132861558,198.05464545876706,19.812456528759935,663.2032401757904,219.79129204708696,305.25673201665177,54.369631026763614,53.54098935042143,22.201923673543813,83.96738060459748,148.84502867681053
rebalacning_date_3,2019-05-16,2019-05-16,2019-05-16,2019-05-16,2019-05-16,2019-05-16,2019-05-16,2019-05-16,2019-05-16,2019-05-16,2019-05-16
weights_3,2.464448964104234,9.745325636316851,1.1381385765723906,17.50438214753566,16.647982097843585,24.266970023496143,2.5969611522355103,1.5019215643444137,1.4460367508642002,7.6964535099528595,14.991379576734149
seed_money_3,2509.2066307470827,9922.313694300357,1158.8086848787757,17822.28497788833,16950.33156576297,24707.69043222184,2644.1254162268456,1529.1984549109288,1472.2986989877688,7836.231328665312,15263.642942454024
num_shares_3,45.64683701559183,201.06005459575192,17.9883372381058,658.8645093489215,224.04773730438131,324.9301740165944,45.64345617515701,41.65618237294821,25.18041215987291,88.43506747167714,130.72664390590975
rebalacning_date_4,2019-08-15,2019-08-15,2019-08-15,2019-08-15,2019-08-15,2019-08-15,2019-08-15,2019-08-15,2019-08-15,2019-08-15,2019-08-15
weights_4,1.2160586498523744,12.35131111444728,1.3699394485312515,17.62356753240254,11.67882700295251,26.94405244457789,2.358867537406796,1.3657984286643643,1.5253090126607614,6.138980633538506,17.42728819496572
seed_money_4,1221.6508959506834,12408.110654006621,1376.2393408406385,17704.612411926508,11732.534013505014,27067.959109913576,2369.7151785004985,1372.0792778114858,1532.323397514488,6167.21174763787,17507.430451611184
num_shares_4,21.956342486532773,257.8576611389572,24.45778107056404,678.5976393992529,160.96218978604765,352.3097632423998,39.807075063001825,35.721928607432595,25.087154510715262,68.9382041989478,152.76989922871888
rebalacning_date_5,2019-11-15,2019-11-15,2019-11-15,2019-11-15,2019-11-15,2019-11-15,2019-11-15,2019-11-15,2019-11-15,2019-11-15,2019-11-15
weights_5,0.8623178526460988,7.416915945562299,0.41559570304668253,26.01977957864515,9.183755303024226,32.140336666853784,3.9617049473506927,1.5468741228457088,2.605348736496836,6.210553118458932,9.636818025069571
seed_money_5,957.4089018286508,8234.807302905878,461.425012178113,28889.07902784437,10196.482714987947,35684.573081945004,4398.5771271847025,1717.4537795736398,2892.6503899181257,6895.414286792649,10699.506375975465
num_shares_5,15.866902582509955,158.45309414866034,7.677620834910366,970.7351823872436,123.89407916145744,409.08601492542704,71.70813705876593,44.5397764412251,46.010026879563,70.74396518716169,88.15610427597812
rebalacning_date_6,2020-02-18,2020-02-18,2020-02-18,2020-02-18,2020-02-18,2020-02-18,2020-02-18,2020-02-18,2020-02-18,2020-02-18,2020-02-18
weights_6,0.6549809655127751,14.154967488366466,1.0516847309106232,14.989423986766855,11.565653021146428,26.38325382373344,1.84774596605645,1.154177802697749,1.4105356568990597,6.041391612575186,20.746184945334946
seed_money_6,793.4903160725137,17148.32982596193,1274.0853451910434,18159.249509934903,14011.450949799402,31962.541688865735,2238.4902887674034,1398.2527091448023,1708.822764564072,7318.969546583896,25133.397329622963
num_shares_6,13.139432291315014,299.11616650901675,23.53533472228768,587.6817814333718,166.42654649957717,314.53003039623826,34.6837664822963,33.42703105772896,24.07810010658126,70.66006513404032,190.88172954828713
rebalacning_date_7,2020-05-18,2020-05-18,2020-05-18,2020-05-18,2020-05-18,2020-05-18,2020-05-18,2020-05-18,2020-05-18,2020-05-18,2020-05-18
weights_7,0.5607720118498319,13.650099477855658,0.7536847051590199,15.609980608431616,7.8993278333511165,30.06543134172428,2.3886721245232816,1.2604206015761747,2.0267805997055977,7.0725501924676175,18.71228050335582
seed_money_7,591.3367970399034,14394.09587843831,794.7641645960872,16460.800003900415,8329.879382412708,31704.142673938073,2518.866301181151,1329.1196167235871,2137.249939024185,7458.038363793578,19732.190238356277
num_shares_7,11.111176193910248,274.9588515460995,20.409968274167625,743.3190338180364,131.42756993393354,331.11376160770834,43.19043726305129,40.92117046562769,37.44962220122981,73.67419108755881,164.7506908103555
rebalacning_date_8,2020-08-17,2020-08-17,2020-08-17,2020-08-17,2020-08-17,2020-08-17,2020-08-17,2020-08-17,2020-08-17,2020-08-17,2020-08-17
weights_8,0.5803234018231932,12.488108383855726,0.9539363599559306,15.271542469520488,6.8072687072826215,30.230687952711797,2.3742120825087016,1.0178972739840897,2.250639546470368,6.902013082971207,21.123370738915888
seed_money_8,713.0888125945795,15345.116793530951,1172.1763142321438,18765.340242811537,8364.624180651817,37146.8138427482,2917.3803252546522,1250.7700984798792,2765.537072482084,8481.044015088155,25955.939930883233
num_shares_8,11.336865065096653,256.17891141120117,30.846745111372204,757.5833767788267,108.39217546523024,323.91710710453606,45.20967496133042,34.570760046431154,45.862969692903555,78.94483863993442,178.42812903611213
