,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
purchase_date,2018-06-29,2018-06-29,2018-06-29,2018-06-29,2018-06-29,2018-06-29,2018-06-29,2018-06-29,2018-06-29,2018-06-29,2018-06-29
weights,5.545799999999999,11.447399999999998,8.034299999999998,0.0,27.845099999999995,18.203,0.0,0.0,0.0,9.2231,19.7013
seed_money,5545.799999999999,11447.399999999998,8034.299999999997,0.0,27845.099999999995,18203.0,0.0,0.0,0.0,9223.1,19701.3
num_shares,95.50198036852073,231.40084899939353,105.74230060542244,0.0,388.680904522613,262.1777329684574,0.0,0.0,0.0,110.53571428571429,180.26626406807574
rebalacning_date_1,2018-09-28,2018-09-28,2018-09-28,2018-09-28,2018-09-28,2018-09-28,2018-09-28,2018-09-28,2018-09-28,2018-09-28,2018-09-28
weights_1,0.0,9.588309588309588,4.1157041157041165,0.0,28.976728976728978,22.963122963122963,0.0,0.0,0.0,16.344616344616345,18.011518011518017
seed_money_1,0.0,10232.941123587369,4392.406973326715,0.0,30924.863120245936,24506.956427630455,0.0,0.0,0.0,17443.481064274805,19222.45017860246
num_shares_1,0.0,208.92080693318434,57.993226476455185,0.0,394.5504353182692,325.37116871522113,0.0,0.0,0.0,183.40322851724113,164.04207355011485
rebalacning_date_2,2018-12-31,2018-12-31,2018-12-31,2018-12-31,2018-12-31,2018-12-31,2018-12-31,2018-12-31,2018-12-31,2018-12-31,2018-12-31
weights_2,0.0,3.594392811214377,6.270487459025083,0.0,28.648542702914597,29.40204119591761,0.0,0.0,0.0,10.245879508240984,21.838656322687353
seed_money_2,0.0,3202.9035867243338,5587.5269698850825,0.0,25528.239398684273,26199.66935990083,0.0,0.0,0.0,9129.932633880162,19460.063031214304
num_shares_2,0.0,78.0244479104588,97.93950251153503,0.0,398.5673598545554,425.3538332640771,0.0,0.0,0.0,106.24885963619288,197.64415261831243
rebalacning_date_3,2019-03-29,2019-03-29,2019-03-29,2019-03-29,2019-03-29,2019-03-29,2019-03-29,2019-03-29,2019-03-29,2019-03-29,2019-03-29
weights_3,5.010010020020039,6.512013024026048,4.6090092180184365,0.0,26.098152196304394,41.834983669967336,0.0,0.0,0.0,6.4722129444258885,9.463618927237851
seed_money_3,5198.1356662622475,6756.538814111729,4782.07730255543,0.0,27078.136613109542,43405.88538613064,0.0,0.0,0.0,6715.2442433498045,9818.977383480917
num_shares_3,93.67698083009996,144.49398661487874,72.32421812697262,0.0,360.89746252311795,586.5660187314952,0.0,0.0,0.0,73.19067295204147,86.2448606366352
rebalacning_date_4,2019-06-28,2019-06-28,2019-06-28,2019-06-28,2019-06-28,2019-06-28,2019-06-28,2019-06-28,2019-06-28,2019-06-28,2019-06-28
weights_4,4.35739128521743,10.446479107041787,4.581190837618325,0.0,20.34735930528139,50.27759944480112,0.0,0.0,0.0,0.0,9.989980020039962
seed_money_4,4705.676608691047,11281.463875864281,4947.364409908528,0.0,21973.719242594252,54296.2768689553,0.0,0.0,0.0,0.0,10788.476917616825
num_shares_4,80.42516849583058,229.2514504341451,77.66663123875239,0.0,284.08169673683585,695.0368262795097,0.0,0.0,0.0,0.0,90.50735669141632
rebalacning_date_5,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-09-30
weights_5,0.0,7.46,0.0,3.763,15.2696,53.1478,0.0,0.0,4.4072,0.0,15.9524
seed_money_5,0.0,8174.206747926899,0.0,4123.262733572241,16731.483560073,58236.07310958033,0.0,0.0,4829.137262662657,0.0,17479.653582524003
num_shares_5,0.0,165.06879539432347,0.0,147.15427314676091,215.47306580905342,723.2497902332381,0.0,0.0,74.61584151209297,0.0,144.83100159519432
rebalacning_date_6,2019-12-31,2019-12-31,2019-12-31,2019-12-31,2019-12-31,2019-12-31,2019-12-31,2019-12-31,2019-12-31,2019-12-31,2019-12-31
weights_6,0.0,10.061810061810062,0.0,4.79050479050479,13.084813084813087,54.02145402145402,0.0,0.0,0.0,0.0,18.04141804141804
seed_money_6,0.0,12098.724389939096,0.0,5760.29529408289,15733.704595348257,64957.56522278874,0.0,0.0,0.0,0.0,21693.725397905662
num_shares_6,0.0,225.51210419271382,0.0,187.20491693477055,193.09897637884458,708.4476521189741,0.0,0.0,0.0,0.0,172.96862859117894
rebalacning_date_7,2020-03-31,2020-03-31,2020-03-31,2020-03-31,2020-03-31,2020-03-31,2020-03-31,2020-03-31,2020-03-31,2020-03-31,2020-03-31
weights_7,0.0,13.04198695801304,0.0,7.157792842207158,6.132093867906133,53.26044673955326,0.0,0.0,0.0,0.0,20.407679592320406
seed_money_7,0.0,12939.151724170173,0.0,7101.354102995346,6083.742699569387,52840.49152010164,0.0,0.0,0.0,0.0,20246.76634268883
num_shares_7,0.0,292.6085871589818,0.0,341.4112549516993,103.09680900812383,656.811578870126,0.0,0.0,0.0,0.0,206.53643111995132
rebalacning_date_8,2020-06-30,2020-06-30,2020-06-30,2020-06-30,2020-06-30,2020-06-30,2020-06-30,2020-06-30,2020-06-30,2020-06-30,2020-06-30
weights_8,0.0,11.5015,0.0,6.195,4.6764,53.4888,0.0,0.0,4.5436,0.0,19.5947
seed_money_8,0.0,14468.078650600883,0.0,7792.8746024842385,5882.58253285832,67285.15109561887,0.0,0.0,5715.52946631919,0.0,24648.75544363162
num_shares_8,0.0,267.77861652046795,0.0,336.4799051158998,85.57728444658598,644.1235984646647,0.0,0.0,101.26735411621527,0.0,192.99056877256203
